Begin,End,Activity,Case,Duration
2023-03-07 15:45:26,2023-03-07 15:52:16,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:06:50
2023-03-07 15:55:16,2023-03-07 15:59:26,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:04:10
2023-03-07 16:00:59,2023-03-07 16:01:32,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:33
2023-03-07 16:01:35,2023-03-07 16:02:11,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:36
2023-03-07 16:03:38,2023-03-07 16:04:35,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:57
2023-03-07 16:04:38,2023-03-07 16:05:17,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:39
2023-03-07 16:05:29,2023-03-07 16:06:35,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:06
2023-03-07 16:06:44,2023-03-07 16:07:59,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:15
2023-03-07 16:08:17,2023-03-07 16:08:23,Drafting conference papers and giving lectures at conferences,Map metaphor,0 days 00:00:06
2023-03-07 16:08:23,2023-03-07 16:08:29,Participating in group meetings,ICS department,0 days 00:00:06
2023-03-07 16:09:29,2023-03-07 16:09:56,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:27
2023-03-07 16:11:44,2023-03-07 16:11:47,Reviewing journal and conference papers,***doc7***,0 days 00:00:03
2023-03-07 16:11:47,2023-03-07 16:12:14,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:27
2023-03-07 16:12:29,2023-03-07 16:15:05,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:02:36
2023-03-07 16:15:29,2023-03-07 16:17:08,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:39
2023-03-07 16:17:14,2023-03-07 16:17:26,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:12
2023-03-07 16:18:29,2023-03-07 16:20:14,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:45
2023-03-07 16:21:02,2023-03-07 16:24:23,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:03:21
2023-03-07 16:25:05,2023-03-07 16:25:14,Participating in group meetings,ICS department,0 days 00:00:09
2023-03-07 16:25:17,2023-03-07 16:26:29,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:12
2023-03-07 16:27:44,2023-03-07 16:27:50,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:06
2023-03-07 16:27:56,2023-03-07 16:29:08,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:12
2023-03-07 16:29:53,2023-03-07 16:31:02,Participating in group meetings,ICS department,0 days 00:01:09
2023-03-07 16:31:29,2023-03-07 16:31:50,Participating in group meetings,ICS department,0 days 00:00:21
2023-03-07 16:31:59,2023-03-07 16:32:02,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:03
2023-03-07 16:33:26,2023-03-07 16:33:32,Participating in group meetings,ICS department,0 days 00:00:06
2023-03-07 16:33:38,2023-03-07 16:34:06,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:28
2023-03-07 16:34:39,2023-03-07 16:35:12,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:33
2023-03-07 16:36:15,2023-03-07 16:36:57,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:42
2023-03-07 16:41:13,2023-03-07 16:46:17,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:05:04
2023-03-07 16:46:32,2023-03-07 16:46:35,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:03
2023-03-07 16:48:32,2023-03-07 16:57:34,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:09:02
2023-03-07 16:58:28,2023-03-07 17:21:50,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:23:22
2023-03-07 17:21:53,2023-03-07 17:22:44,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:00:51
2023-03-07 17:28:33,2023-03-07 17:28:39,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name10***,0 days 00:00:06
2023-03-07 17:28:45,2023-03-07 17:28:51,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name10***,0 days 00:00:06
2023-03-07 17:28:51,2023-03-07 17:30:03,Drafting conference papers and giving lectures at conferences,BPM paper combination SWORD and motivational model,0 days 00:01:12
2023-03-07 17:30:03,2023-03-07 17:30:34,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name10***,0 days 00:00:31
"2023-03-07 17:30:34,2023-03-07 17:34:52,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:04:18"
"2023-03-07 17:34:55,2023-03-07 17:40:23,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:05:28"
2023-03-07 17:40:23,2023-03-07 17:40:26,Assessing the students assignments and submitting the assessment to the Board of Examiners,***name10***,0 days 00:00:03
"2023-03-07 17:40:38,2023-03-07 17:50:37,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:09:59"
"2023-03-07 17:51:10,2023-03-07 17:53:40,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:02:30"
"2023-03-07 17:54:44,2023-03-07 17:58:44,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:04:00"
"2023-03-07 17:58:50,2023-03-07 18:02:54,""Discussing the structure, provision and progress of the assignment with students"",***name46***,0 days 00:04:04"
"2023-03-08 09:17:03,2023-03-08 09:38:15,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:21:12"
"2023-03-08 09:45:38,2023-03-08 09:47:56,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:02:18"
"2023-03-08 09:56:48,2023-03-08 09:56:57,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:00:09"
2023-03-08 09:56:57,2023-03-08 09:58:48,Discussing possible assignments with students,***name56***,0 days 00:01:51
2023-03-08 09:58:54,2023-03-08 10:01:24,Discussing possible assignments with students,***name56***,0 days 00:02:30
2023-03-08 10:24:28,2023-03-08 10:24:40,Discussing possible assignments with students,***name56***,0 days 00:00:12
"2023-03-08 10:37:00,2023-03-08 11:29:09,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:52:09"
"2023-03-08 11:29:27,2023-03-08 11:30:39,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:01:12"
"2023-03-08 11:37:43,2023-03-08 11:42:08,""Preparing and providing teaching sessions for students, providing prospective students with information"",BPM course,0 days 00:04:25"
