Begin;End;Activity;Case;Case type;Duration
6-3-2023 12:55;6-3-2023 12:56;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:09
6-3-2023 12:58;6-3-2023 13:00;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:01:46
6-3-2023 13:05;6-3-2023 13:05;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:03
6-3-2023 13:05;6-3-2023 13:06;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:22
6-3-2023 13:18;6-3-2023 13:22;Organizing national and international travelling;ECIS conference 2023;Academic conference;0 days 00:03:09
6-3-2023 13:24;6-3-2023 13:27;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:02:22
6-3-2023 13:28;6-3-2023 13:29;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:57
6-3-2023 13:29;6-3-2023 13:32;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:02:54
6-3-2023 13:32;6-3-2023 13:32;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:06
6-3-2023 13:37;6-3-2023 14:01;Communicating about events;BPM conference 2023;Academic conference;0 days 00:23:34
6-3-2023 14:01;6-3-2023 14:08;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:07:40
6-3-2023 14:11;6-3-2023 14:11;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
6-3-2023 14:17;6-3-2023 14:17;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:54
6-3-2023 14:18;6-3-2023 14:18;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
6-3-2023 14:29;6-3-2023 14:31;Communicating about events;BPM conference 2023;Academic conference;0 days 00:01:31
6-3-2023 14:32;6-3-2023 14:32;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:42
6-3-2023 14:35;6-3-2023 14:46;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:11:26
6-3-2023 14:49;6-3-2023 14:49;Organizing practical aspects for the group;BPM&A group;Organizational unit;0 days 00:00:37
6-3-2023 14:49;6-3-2023 14:50;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:25
6-3-2023 14:51;6-3-2023 14:53;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:01:27
6-3-2023 15:20;6-3-2023 15:24;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:03:57
6-3-2023 15:24;6-3-2023 15:26;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:01:21
6-3-2023 15:26;6-3-2023 15:27;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:01:03
6-3-2023 15:34;6-3-2023 15:35;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:33
6-3-2023 15:36;6-3-2023 15:36;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:18
6-3-2023 15:36;6-3-2023 15:37;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:01:00
6-3-2023 15:39;6-3-2023 15:42;Communicating about events;BPM conference 2023;Academic conference;0 days 00:02:54
6-3-2023 15:42;6-3-2023 15:56;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:13:32
6-3-2023 15:57;6-3-2023 15:57;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
6-3-2023 15:57;6-3-2023 16:01;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:04:31
6-3-2023 16:04;6-3-2023 16:05;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:01:06
6-3-2023 16:20;6-3-2023 16:20;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:06
6-3-2023 16:20;6-3-2023 16:30;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:10:20
6-3-2023 16:32;6-3-2023 16:32;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:09
6-3-2023 16:40;6-3-2023 16:40;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
6-3-2023 16:40;6-3-2023 16:41;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:12
6-3-2023 16:42;6-3-2023 16:42;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:03
6-3-2023 16:43;6-3-2023 16:43;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:12
6-3-2023 16:44;6-3-2023 16:44;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name39***;Master student;0 days 00:00:03
6-3-2023 16:44;6-3-2023 16:44;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:03
7-3-2023 08:53;7-3-2023 08:54;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:48
7-3-2023 09:24;7-3-2023 09:25;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:00:15
7-3-2023 09:25;7-3-2023 09:29;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:04:13
7-3-2023 09:29;7-3-2023 09:32;Assessing the students assignments and submitting the assessment to the Board of Examiners;***name46***;Master student;0 days 00:03:09
7-3-2023 09:36;7-3-2023 09:36;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:27
7-3-2023 09:36;7-3-2023 09:36;Drafting conference papers and giving lectures at conferences;Map metaphor;Research project;0 days 00:00:24
